x,y,y_hat,residual
1.000000,14.470000,11.731620,2.738380
2.000000,14.780000,13.225967,1.554033
3.000000,18.880000,14.720314,4.159686
4.000000,11.400000,16.214661,-4.814661
5.000000,20.570000,17.709008,2.860992
6.000000,20.310000,19.203355,1.106645
7.000000,18.110000,20.697702,-2.587702
8.000000,18.180000,22.192049,-4.012049
9.000000,24.940000,23.686396,1.253604
10.000000,22.690000,25.180743,-2.490743
11.000000,29.670000,26.675091,2.994909
12.000000,25.890000,28.169438,-2.279438
13.000000,33.080000,29.663785,3.416215
14.000000,33.100000,31.158132,1.941868
15.000000,31.890000,32.652479,-0.762479
16.000000,29.030000,34.146826,-5.116826
17.000000,38.070000,35.641173,2.428827
18.000000,37.660000,37.135520,0.524480
19.000000,35.470000,38.629867,-3.159867
20.000000,43.130000,40.124214,3.005786
21.000000,45.270000,41.618561,3.651439
22.000000,39.330000,43.112908,-3.782908
23.000000,49.170000,44.607255,4.562745
24.000000,44.110000,46.101603,-1.991603
25.000000,45.520000,47.595950,-2.075950
26.000000,44.890000,49.090297,-4.200297
27.000000,50.040000,50.584644,-0.544644
28.000000,53.580000,52.078991,1.501009
29.000000,50.480000,53.573338,-3.093338
30.000000,54.800000,55.067685,-0.267685
31.000000,55.130000,56.562032,-1.432032
32.000000,60.260000,58.056379,2.203621
33.000000,59.630000,59.550726,0.079274
34.000000,58.800000,61.045073,-2.245073
35.000000,65.820000,62.539420,3.280580
36.000000,62.960000,64.033767,-1.073767
37.000000,62.530000,65.528114,-2.998114
38.000000,65.110000,67.022462,-1.912462
39.000000,71.700000,68.516809,3.183191
40.000000,65.370000,70.011156,-4.641156
41.000000,75.820000,71.505503,4.314497
42.000000,75.850000,72.999850,2.850150
43.000000,75.340000,74.494197,0.845803
44.000000,77.920000,75.988544,1.931456
45.000000,78.710000,77.482891,1.227109
46.000000,76.720000,78.977238,-2.257238
47.000000,84.580000,80.471585,4.108415
48.000000,77.180000,81.965932,-4.785932
49.000000,86.200000,83.460279,2.739721
50.000000,83.640000,84.954626,-1.314626
51.000000,83.940000,86.448974,-2.508974
52.000000,87.940000,87.943321,-0.003321
53.000000,94.040000,89.437668,4.602332
54.000000,94.120000,90.932015,3.187985
55.000000,91.600000,92.426362,-0.826362
56.000000,98.340000,93.920709,4.419291
57.000000,94.460000,95.415056,-0.955056
58.000000,96.280000,96.909403,-0.629403
59.000000,93.710000,98.403750,-4.693750
60.000000,103.500000,99.898097,3.601903
61.000000,96.800000,101.392444,-4.592444
62.000000,103.300000,102.886791,0.413209
63.000000,102.300000,104.381138,-2.081138
64.000000,107.660000,105.875486,1.784514
65.000000,112.020000,107.369833,4.650167
66.000000,105.990000,108.864180,-2.874180
67.000000,108.690000,110.358527,-1.668527
68.000000,110.500000,111.852874,-1.352874
69.000000,115.270000,113.347221,1.922779
70.000000,111.520000,114.841568,-3.321568
71.000000,118.690000,116.335915,2.354085
72.000000,117.660000,117.830262,-0.170262
73.000000,115.390000,119.324609,-3.934609
74.000000,120.910000,120.818956,0.091044
75.000000,121.300000,122.313303,-1.013303
76.000000,120.930000,123.807650,-2.877650
77.000000,125.710000,125.301997,0.408003
78.000000,123.250000,126.796345,-3.546345
79.000000,127.410000,128.290692,-0.880692
80.000000,128.390000,129.785039,-1.395039
81.000000,134.810000,131.279386,3.530614
82.000000,129.280000,132.773733,-3.493733
83.000000,130.060000,134.268080,-4.208080
84.000000,139.760000,135.762427,3.997573
85.000000,141.690000,137.256774,4.433226
86.000000,142.420000,138.751121,3.668879
87.000000,142.960000,140.245468,2.714532
88.000000,137.410000,141.739815,-4.329815
89.000000,144.140000,143.234162,0.905838
90.000000,149.720000,144.728509,4.991491
91.000000,148.510000,146.222857,2.287143
92.000000,148.130000,147.717204,0.412796
93.000000,144.530000,149.211551,-4.681551
94.000000,150.880000,150.705898,0.174102
95.000000,152.330000,152.200245,0.129755
96.000000,156.160000,153.694592,2.465408
97.000000,151.980000,155.188939,-3.208939
98.000000,157.860000,156.683286,1.176714
99.000000,155.410000,158.177633,-2.767633
100.000000,162.740000,159.671980,3.068020
